Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSTroubleshoot,Chrome 68.0.3440.106,Troubleshooting test suite,2018-09-12 15:44:54,2018-09-12 15:45:04,9.803s,PASSED
,,,,,,
Test Cases/WHTroubleshootMakeAppt,Chrome 68.0.3440.106,Make an appointment,2018-09-12 15:44:55,2018-09-12 15:45:04,9.239s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 15:44:55,2018-09-12 15:45:00,4.074s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 15:45:00,2018-09-12 15:45:01,1.355s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 15:45:01,2018-09-12 15:45:01,0.485s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 15:45:01,2018-09-12 15:45:02,0.310s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 15:45:02,2018-09-12 15:45:02,0.257s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 15:45:02,2018-09-12 15:45:02,0.297s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-12 15:45:02,2018-09-12 15:45:03,0.364s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 15:45:03,2018-09-12 15:45:03,0.150s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 15:45:03,2018-09-12 15:45:03,0.406s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 15:45:03,2018-09-12 15:45:03,0.260s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-12 15:45:03,2018-09-12 15:45:04,0.700s,PASSED
